ComputerName,Instance,databasename,name,physical_name
SQL-FWAOPS05,SQL-FWAOPS05,Hades,Hades,F:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\Data\Hades.mdf
SQL-FWAOPS05,SQL-FWAOPS05,Hades,Hades_log,I:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\Data\Hades_log.ldf
SQL-FWAOPS05,SQL-FWAOPS05,DBADashDB,DBADashDB,F:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\Data\DBADashDB_Primary.mdf
SQL-FWAOPS05,SQL-FWAOPS05,DBADashDB,DBADashDB_log,I:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\Data\DBADashDB_Primary.ldf
SQL2019TEST,SQL2019TEST\I1,Hades,Hades,F:\Program Files\Microsoft SQL Server\MSSQL15.I1\MSSQL\Data\Hades.mdf
SQL2019TEST,SQL2019TEST\I1,Hades,Hades_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I1\MSSQL\Data\Hades_log.ldf
SQL2019TEST,SQL2019TEST\I1,DBADashDB,DBADashDB,F:\Program Files\Microsoft SQL Server\MSSQL15.I1\MSSQL\Data\DBADashDB_Primary.mdf
SQL2019TEST,SQL2019TEST\I1,DBADashDB,DBADashDB_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I1\MSSQL\Data\DBADashDB_Primary.ldf
SQL2019TEST,SQL2019TEST\I2,Hades,Hades,F:\Program Files\Microsoft SQL Server\MSSQL15.I2\MSSQL\Data\Hades.mdf
SQL2019TEST,SQL2019TEST\I2,Hades,Hades_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I2\MSSQL\Data\Hades_log.ldf
SQL2019TEST,SQL2019TEST\I2,DBADashDB,DBADashDB,F:\Program Files\Microsoft SQL Server\MSSQL15.I2\MSSQL\Data\DBADashDB_Primary.mdf
SQL2019TEST,SQL2019TEST\I2,DBADashDB,DBADashDB_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I2\MSSQL\Data\DBADashDB_Primary.ldf
SQL2019TEST,SQL2019TEST\I3,Hades,Hades,F:\Program Files\Microsoft SQL Server\MSSQL15.I3\MSSQL\Data\Hades.mdf
SQL2019TEST,SQL2019TEST\I3,Hades,Hades_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I3\MSSQL\Data\Hades_log.ldf
SQL2019TEST,SQL2019TEST\I3,DBADashDB,DBADashDB,F:\Program Files\Microsoft SQL Server\MSSQL15.I3\MSSQL\Data\DBADashDB_Primary.mdf
SQL2019TEST,SQL2019TEST\I3,DBADashDB,DBADashDB_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I3\MSSQL\Data\DBADashDB_Primary.ldf
SQL2019TEST,SQL2019TEST\I4,Hades,Hades,F:\Program Files\Microsoft SQL Server\MSSQL15.I4\MSSQL\Data\Hades.mdf
SQL2019TEST,SQL2019TEST\I4,Hades,Hades_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I4\MSSQL\Data\Hades_log.ldf
SQL2019TEST,SQL2019TEST\I4,DBADashDB,DBADashDB,F:\Program Files\Microsoft SQL Server\MSSQL15.I4\MSSQL\Data\DBADashDB_Primary.mdf
SQL2019TEST,SQL2019TEST\I4,DBADashDB,DBADashDB_log,I:\Program Files\Microsoft SQL Server\MSSQL15.I4\MSSQL\Data\DBADashDB_Primary.ldf
